✅ A 載入 | A1 頁面載入無 JS 錯誤 | 
✅ C 作答 | C11c 略過出生年代可完整完成，結果不宣稱年齡差、hash 帶 d=-1 | {'screen': 'result', 'gap': '', 'hash': '#a=36&t=4&y=2010&n=0&d=-1&q=0', 'age': 36}
✅ C 作答 | C12 版面固定：10 題視覺區／題目／選項／頁尾位置完全一致 | [[159, 29], [192, 68], [273, 286], [743, 77]]
✅ C 作答 | C13 選項文字無溢出裁切（抽樣 10 題） | 
✅ D 結果 | D 年代1／new：結果頁完整、落差方向=younger | age=26 數位主力 「比同年代的人年輕 25 歲」 right=11
✅ D 結果 | D 年代4／old：結果頁完整、落差方向=older | age=45 撥接時代老司機 「比同年代的人老了 24 歲」 right=8
✅ D 結果 | D 年代3／right：結果頁完整、落差方向=match | age=34 全時代通才 「精準符合你的年代」 right=15
✅ D 結果 | D 全對觸發限定成就（金色 Hero＋徽章） | 
✅ D 結果 | D 年代2／wrong：結果頁完整、落差方向=match | age=36 數位隱士 「精準符合你的年代」 right=0
✅ D 結果 | D 全錯→數位隱士、不除以零 | age=36
✅ D 結果 | D 計分公式：年齡＝20＋(2026−難度加權平均年) | {'age': 36, 'exp': 36, 'center': 2010, 'expCenter': 2010}
✅ D 結果 | D 結果頁不再顯示假設分布百分位 | 
✅ E 分享 | E1 「分享挑戰！」開平台面板：三平台＋系統分享，Threads／FB 連結帶 share_id | ['Threads', 'Instagram', 'Facebook', '系統分享']
✅ E 分享 | E1c 面板「複製連結」：挑戰連結含 #a= 與 s=／p= 歸因參數 | index.html#a=26&t=3&y=2020&n=100&d=1&q=1&s=fpbnvrgtgr&p=copy
✅ E 分享 | E1b LINE 挑戰鈕：line.me/R/share 帶結果文字與 #a= 連結 | https://line.me/R/share?text=%E6%88%91%E6%98%AF%201970%20%E5
✅ E 分享 | E2 直式證書 1080×1920 產生並預覽、檔名帶年齡 | {'w': 1080, 'h': 1920, 'shown': True, 'px': [100, 96, 250, 255]}
✅ E 分享 | E2b 證書預覽按鈕：儲存證書／曬證書到 Threads／IG／FB／複製分享文案／關閉 | ['儲存證書', '曬證書到 Threads／IG／FB', '複製分享文案', '關閉']
✅ E 分享 | E2c 曬證書文案：年齡、稱號、關鍵字、邀請 CTA、連結、#WEiZ數位年齡挑戰 | 我的數位年齡是 26 歲，稱號是「數位主力」！
我的本輪科技關鍵字：自拍棒、Wi-Fi 6、Switch 2、Galax
✅ E 分享 | E3 圖卡可關閉 | 
✅ E 分享 | E3b 本人在結果頁重新整理仍是本人視角（分享／證書／小知識／回顧都在） | {'whose': '你的數位年齡', 'owner': True, 'lead': True, 'review': 15, 'age': 26, 'tip': True}
✅ E 分享 | E4 朋友開連結：結果頁、「朋友的」、只顯示換我測、不顯示優惠圓標 | {'whose': '朋友的數位年齡', 'who2': '他的', 'age': 26}
✅ E 分享 | E5 好友對戰卡：你 vs 朋友、勝負文案、挑戰註記、hash 帶 o= | 44歲 vs 26歲｜你比朋友老 18 歲，這一局先低頭。
✅ E 分享 | E7 推薦連結 s／p：互動後 referral_visit、開始後 referral_start（帶 share_id 與平台） | [['referral_visit', 'abc123defg', 'threads'], ['referral_start', 'abc123defg', 'threads']]
✅ E 分享 | E6 無效 hash 落回首頁、無錯誤 | 
✅ F 名單 | F0 Email 不在主流程：右下角 Z 圓標可見、小知識卡有出現、LINE OA 入口有連結 | 
✅ F 名單 | F0b 點圓標開優惠面板，表單可見 | 
✅ F 名單 | F1 Email 格式錯誤被擋 | 
✅ F 名單 | F2 未勾同意被擋 | 
✅ F 名單 | F3 後端回 ok 才顯示「已領取」（含收件編號）、圓標打勾、payload 含 email／年齡／出生年代 | {"email":"gary@weiz.com.tw","age":34,"persona":"數位主力","newRate":25,"centerYear":2012,"decade":"1980 年代","ts":"2026-09-12
✅ F 名單 | F4 重整後圓標維持已領取狀態 | 
✅ G 掃描 | G1 掃描頁出現、步驟依序亮起、百分比推進、3 秒後進結果 | steps=['step on done', 'step on done', 'step on done'] pct=100%
✅ G 掃描 | G2 prefers-reduced-motion：跳過掃描直接出結果 | 
✅ H 相容 | H1 桌機 1200px 版面：手機容器置中、寬 480 | 
✅ H 相容 | H2 沙箱 iframe（Claude 預覽）完整跑完進結果、無錯誤 | 
✅ H 相容 | H3 ?v=silent 強制不顯示對錯（A/B 用） | 
✅ I 穩定 | I1 5 個年代各完整隨機跑一輪：皆進結果、答案 15 筆、無錯誤 | []

PASS 63 / 63
